# Particle: C12
# Energy: 88 MeV  
# Source: Hilgers (2017)
0.0 0.003289923749530886
1.0 0.0021183304023190317
2.0 0.006841063094744774
3.0 0.01617763686228951
4.0 0.03138901052687994
5.0 0.04997019695567309
6.0 0.06858002925725618
7.0 0.08358469722108776
8.0 0.09743652777991595
9.0 0.10086941249600007
10.0 0.09840526900470375
11.0 0.08825864292442193
12.0 0.07876768958002653
13.0 0.06591917736807791
14.0 0.053553305429818975
15.0 0.04244432641776916
16.0 0.033639756700918164
17.0 0.025125075744544534
18.0 0.018672983711724173
19.0 0.013809306283308226
20.0 0.01031398652405151
21.0 0.007295425408840068
22.0 0.005315741491011481
23.0 0.00385415390408607
24.0 0.002766928032482954
25.0 0.0019283114343331853
26.0 0.0014402300694805296
27.0 0.0010390793533533885
28.0 0.0006892007663730031
29.0 0.0004947827637252583
30.0 0.0003047110355229469
31.0 0.0002187544989061038
32.0 0.00015549964936915778
33.0 0.00010624682177860632
34.0 0.00006943336851393132
35.0 0.000053421010922880685
36.0 0.000030395848892651556
37.0 0.00003508429456729003
38.0 0.00002139390090322136
39.0 0.000008194716609142006
40.0 0.000006242828673806147
41.0 0.000002061477244897048
42.0 0.000004181911545889677
43.0 0.000003077403643435081
