G4EmDNAPhysics_option8, ion, 3, 7, 3, 7, MeV, 1000, 4V6X, VOXEL, 5, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 6, 12, 6, 12, MeV, 1000, 4V6X, VOXEL, 5, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 6, 12, 6, 12, MeV, 1000, 4V6X, VOXEL, 5, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 10, 20, 10, 20, MeV, 1000, 4V6X, VOXEL, 5, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 10, 20, 10, 20, MeV, 1000, 4V6X, VOXEL, 5, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 1, 1, 1, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 1, 1, 1, 1, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 2, 1, 2, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 1, 2, 1, 2, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 2, 4, 2, 4, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 2, 4, 2, 4, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 6, 3, 6, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 3, 6, 3, 6, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 7, 3, 7, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 3, 7, 3, 7, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 6, 12, 6, 12, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 6, 12, 6, 12, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 10, 20, 10, 20, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 10, 20, 10, 20, MeV, 1000, 4V6X, VOXEL, 1, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 1, 1, 1, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 1, 1, 1, 1, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 1, 2, 1, 2, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 1, 2, 1, 2, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 2, 4, 2, 4, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 2, 4, 2, 4, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 6, 3, 6, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 3, 6, 3, 6, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 3, 7, 3, 7, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 3, 7, 3, 7, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 6, 12, 6, 12, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option8, ion, 6, 12, 6, 12, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
G4EmDNAPhysics_option6, ion, 10, 20, 10, 20, MeV, 1000, 7un1, VOXEL, 10, angstrom, 4, 6GB, 10GB
